t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,1,0.325381,0.000000,0.000000,0.000000,events/second
1574560020,1,0.166284,0.000000,0.000000,0.000000,events/second
1574560023,1,0.110774,0.000000,0.000000,0.000000,events/second
1574560026,1,0.083260,0.000000,0.000000,0.000000,events/second
1574560029,1,0.066648,0.000000,0.000000,0.000000,events/second
1574560032,1,0.055536,0.000000,0.000000,0.000000,events/second
1574560035,1,0.047603,0.000000,0.000000,0.000000,events/second
1574560038,1,0.041659,0.000000,0.000000,0.000000,events/second
1574560041,1,0.037034,0.000000,0.000000,0.000000,events/second
1574560044,1,0.033329,0.000000,0.000000,0.000000,events/second
1574560047,2,0.060600,0.000000,0.000000,0.000000,events/second
1574560050,2,0.055553,0.000000,0.000000,0.000000,events/second
1574560053,2,0.051273,0.000000,0.000000,0.000000,events/second
1574560056,2,0.047611,0.000000,0.000000,0.000000,events/second
1574560059,2,0.044442,0.000000,0.000000,0.000000,events/second
1574560062,2,0.041658,0.000000,0.000000,0.000000,events/second
1574560065,2,0.039211,0.000000,0.000000,0.000000,events/second
1574560068,2,0.037036,0.000000,0.000000,0.000000,events/second
1574560071,2,0.035084,0.000000,0.000000,0.000000,events/second
1574560074,2,0.033333,0.000000,0.000000,0.000000,events/second
1574560077,2,0.031743,0.000000,0.000000,0.000000,events/second
1574560080,2,0.030301,0.000000,0.000000,0.000000,events/second
1574560083,2,0.028983,0.000000,0.000000,0.000000,events/second
1574560086,2,0.027775,0.000000,0.000000,0.000000,events/second
1574560089,2,0.026666,0.000000,0.000000,0.000000,events/second
1574560092,2,0.025640,0.000000,0.000000,0.000000,events/second
1574560095,2,0.024689,0.000000,0.000000,0.000000,events/second
1574560098,2,0.023808,0.000000,0.000000,0.000000,events/second
1574560101,2,0.022988,0.000000,0.000000,0.000000,events/second
1574560104,2,0.022221,0.000000,0.000000,0.000000,events/second
1574560107,2,0.021504,0.000000,0.000000,0.000000,events/second
1574560110,2,0.020833,0.000000,0.000000,0.000000,events/second
1574560113,2,0.020201,0.000000,0.000000,0.000000,events/second
1574560116,2,0.019607,0.000000,0.000000,0.000000,events/second
1574560119,2,0.019047,0.000000,0.000000,0.000000,events/second
1574560122,2,0.018518,0.000000,0.000000,0.000000,events/second
1574560125,2,0.018017,0.000000,0.000000,0.000000,events/second
1574560128,2,0.017543,0.000000,0.000000,0.000000,events/second
1574560131,2,0.017093,0.000000,0.000000,0.000000,events/second
1574560134,2,0.016666,0.000000,0.000000,0.000000,events/second
1574560137,2,0.016259,0.000000,0.000000,0.000000,events/second
1574560140,2,0.015873,0.000000,0.000000,0.000000,events/second
1574560143,2,0.015503,0.000000,0.000000,0.000000,events/second
1574560146,2,0.015151,0.000000,0.000000,0.000000,events/second
1574560149,2,0.014814,0.000000,0.000000,0.000000,events/second
1574560152,2,0.014493,0.000000,0.000000,0.000000,events/second
1574560155,2,0.014184,0.000000,0.000000,0.000000,events/second
1574560158,2,0.013889,0.000000,0.000000,0.000000,events/second
1574560161,2,0.013605,0.000000,0.000000,0.000000,events/second
1574560164,2,0.013333,0.000000,0.000000,0.000000,events/second
1574560167,2,0.013072,0.000000,0.000000,0.000000,events/second
1574560170,2,0.012820,0.000000,0.000000,0.000000,events/second
1574560173,2,0.012579,0.000000,0.000000,0.000000,events/second
1574560176,2,0.012346,0.000000,0.000000,0.000000,events/second
1574560179,2,0.012121,0.000000,0.000000,0.000000,events/second
1574560182,2,0.011905,0.000000,0.000000,0.000000,events/second
1574560185,2,0.011696,0.000000,0.000000,0.000000,events/second
1574560188,2,0.011494,0.000000,0.000000,0.000000,events/second
1574560191,2,0.011299,0.000000,0.000000,0.000000,events/second
1574560194,2,0.011111,0.000000,0.000000,0.000000,events/second
1574560197,2,0.010929,0.000000,0.000000,0.000000,events/second
1574560200,2,0.010753,0.000000,0.000000,0.000000,events/second
1574560203,2,0.010581,0.000000,0.000000,0.000000,events/second
1574560206,2,0.010417,0.000000,0.000000,0.000000,events/second
1574560209,2,0.010256,0.000000,0.000000,0.000000,events/second
1574560212,2,0.010101,0.000000,0.000000,0.000000,events/second
1574560215,2,0.009950,0.000000,0.000000,0.000000,events/second
1574560218,2,0.009804,0.000000,0.000000,0.000000,events/second
1574560221,2,0.009662,0.000000,0.000000,0.000000,events/second
1574560224,2,0.009524,0.000000,0.000000,0.000000,events/second
1574560227,2,0.009389,0.000000,0.000000,0.000000,events/second
1574560230,2,0.009259,0.000000,0.000000,0.000000,events/second
1574560233,2,0.009132,0.000000,0.000000,0.000000,events/second
1574560236,2,0.009009,0.000000,0.000000,0.000000,events/second
1574560239,2,0.008889,0.000000,0.000000,0.000000,events/second
1574560242,2,0.008772,0.000000,0.000000,0.000000,events/second
1574560245,2,0.008658,0.000000,0.000000,0.000000,events/second
1574560248,2,0.008547,0.000000,0.000000,0.000000,events/second
1574560251,2,0.008439,0.000000,0.000000,0.000000,events/second
1574560254,2,0.008333,0.000000,0.000000,0.000000,events/second
1574560257,2,0.008230,0.000000,0.000000,0.000000,events/second
1574560260,2,0.008130,0.000000,0.000000,0.000000,events/second
1574560263,2,0.008032,0.000000,0.000000,0.000000,events/second
1574560266,2,0.007936,0.000000,0.000000,0.000000,events/second
1574560269,2,0.007843,0.000000,0.000000,0.000000,events/second
1574560272,2,0.007752,0.000000,0.000000,0.000000,events/second
1574560275,2,0.007663,0.000000,0.000000,0.000000,events/second
1574560278,2,0.007576,0.000000,0.000000,0.000000,events/second
1574560281,2,0.007491,0.000000,0.000000,0.000000,events/second
1574560284,2,0.007407,0.000000,0.000000,0.000000,events/second
1574560287,2,0.007326,0.000000,0.000000,0.000000,events/second
1574560290,2,0.007246,0.000000,0.000000,0.000000,events/second
1574560293,2,0.007168,0.000000,0.000000,0.000000,events/second
1574560296,2,0.007092,0.000000,0.000000,0.000000,events/second
1574560299,2,0.007017,0.000000,0.000000,0.000000,events/second
1574560302,2,0.006944,0.000000,0.000000,0.000000,events/second
1574560305,2,0.006873,0.000000,0.000000,0.000000,events/second
1574560308,2,0.006803,0.000000,0.000000,0.000000,events/second
1574560311,2,0.006734,0.000000,0.000000,0.000000,events/second
1574560314,2,0.006667,0.000000,0.000000,0.000000,events/second
1574560317,2,0.006601,0.000000,0.000000,0.000000,events/second
1574560320,2,0.006536,0.000000,0.000000,0.000000,events/second
1574560323,2,0.006472,0.000000,0.000000,0.000000,events/second
1574560326,2,0.006410,0.000000,0.000000,0.000000,events/second
1574560329,2,0.006349,0.000000,0.000000,0.000000,events/second
1574560332,2,0.006289,0.000000,0.000000,0.000000,events/second
1574560335,2,0.006231,0.000000,0.000000,0.000000,events/second
1574560338,2,0.006173,0.000000,0.000000,0.000000,events/second
1574560341,2,0.006116,0.000000,0.000000,0.000000,events/second
1574560344,2,0.006061,0.000000,0.000000,0.000000,events/second
1574560347,2,0.006006,0.000000,0.000000,0.000000,events/second
1574560350,2,0.005952,0.000000,0.000000,0.000000,events/second
1574560353,2,0.005900,0.000000,0.000000,0.000000,events/second
1574560356,2,0.005848,0.000000,0.000000,0.000000,events/second
1574560359,2,0.005797,0.000000,0.000000,0.000000,events/second
1574560362,2,0.005747,0.000000,0.000000,0.000000,events/second
1574560365,2,0.005698,0.000000,0.000000,0.000000,events/second
1574560368,2,0.005650,0.000000,0.000000,0.000000,events/second
1574560371,2,0.005602,0.000000,0.000000,0.000000,events/second
1574560374,2,0.005556,0.000000,0.000000,0.000000,events/second
1574560377,2,0.005510,0.000000,0.000000,0.000000,events/second
1574560380,2,0.005464,0.000000,0.000000,0.000000,events/second
1574560383,2,0.005420,0.000000,0.000000,0.000000,events/second
1574560386,2,0.005376,0.000000,0.000000,0.000000,events/second
1574560389,2,0.005333,0.000000,0.000000,0.000000,events/second
1574560392,2,0.005291,0.000000,0.000000,0.000000,events/second
1574560395,2,0.005249,0.000000,0.000000,0.000000,events/second
1574560398,2,0.005208,0.000000,0.000000,0.000000,events/second
1574560401,2,0.005168,0.000000,0.000000,0.000000,events/second
1574560404,2,0.005128,0.000000,0.000000,0.000000,events/second
1574560407,2,0.005089,0.000000,0.000000,0.000000,events/second
1574560410,2,0.005050,0.000000,0.000000,0.000000,events/second
1574560413,2,0.005012,0.000000,0.000000,0.000000,events/second
1574560416,2,0.004975,0.000000,0.000000,0.000000,events/second
1574560419,2,0.004938,0.000000,0.000000,0.000000,events/second
1574560422,2,0.004902,0.000000,0.000000,0.000000,events/second
1574560425,2,0.004866,0.000000,0.000000,0.000000,events/second
1574560428,2,0.004831,0.000000,0.000000,0.000000,events/second
1574560431,2,0.004796,0.000000,0.000000,0.000000,events/second
1574560434,2,0.004762,0.000000,0.000000,0.000000,events/second
1574560437,2,0.004728,0.000000,0.000000,0.000000,events/second
1574560440,2,0.004695,0.000000,0.000000,0.000000,events/second
1574560443,2,0.004662,0.000000,0.000000,0.000000,events/second
1574560446,2,0.004630,0.000000,0.000000,0.000000,events/second
1574560449,2,0.004598,0.000000,0.000000,0.000000,events/second
1574560452,2,0.004566,0.000000,0.000000,0.000000,events/second
1574560455,2,0.004535,0.000000,0.000000,0.000000,events/second
1574560458,2,0.004504,0.000000,0.000000,0.000000,events/second
1574560461,2,0.004474,0.000000,0.000000,0.000000,events/second
1574560464,2,0.004444,0.000000,0.000000,0.000000,events/second
1574560467,2,0.004415,0.000000,0.000000,0.000000,events/second
1574560470,2,0.004386,0.000000,0.000000,0.000000,events/second
1574560473,2,0.004357,0.000000,0.000000,0.000000,events/second
1574560476,2,0.004329,0.000000,0.000000,0.000000,events/second
1574560479,2,0.004301,0.000000,0.000000,0.000000,events/second
1574560482,2,0.004273,0.000000,0.000000,0.000000,events/second
1574560485,2,0.004246,0.000000,0.000000,0.000000,events/second
1574560488,2,0.004219,0.000000,0.000000,0.000000,events/second
1574560491,2,0.004193,0.000000,0.000000,0.000000,events/second
1574560494,2,0.004167,0.000000,0.000000,0.000000,events/second
1574560497,2,0.004141,0.000000,0.000000,0.000000,events/second
1574560500,2,0.004115,0.000000,0.000000,0.000000,events/second
1574560503,2,0.004090,0.000000,0.000000,0.000000,events/second
1574560506,2,0.004065,0.000000,0.000000,0.000000,events/second
1574560509,2,0.004040,0.000000,0.000000,0.000000,events/second
1574560512,2,0.004016,0.000000,0.000000,0.000000,events/second
1574560515,2,0.003992,0.000000,0.000000,0.000000,events/second
1574560518,2,0.003968,0.000000,0.000000,0.000000,events/second
1574560521,2,0.003945,0.000000,0.000000,0.000000,events/second
1574560524,2,0.003922,0.000000,0.000000,0.000000,events/second
1574560527,2,0.003899,0.000000,0.000000,0.000000,events/second
1574560530,2,0.003876,0.000000,0.000000,0.000000,events/second
1574560533,2,0.003854,0.000000,0.000000,0.000000,events/second
1574560536,2,0.003831,0.000000,0.000000,0.000000,events/second
1574560539,2,0.003809,0.000000,0.000000,0.000000,events/second
1574560542,2,0.003788,0.000000,0.000000,0.000000,events/second
1574560545,2,0.003766,0.000000,0.000000,0.000000,events/second
1574560548,2,0.003745,0.000000,0.000000,0.000000,events/second
1574560551,2,0.003724,0.000000,0.000000,0.000000,events/second
1574560554,2,0.003704,0.000000,0.000000,0.000000,events/second
1574560557,2,0.003683,0.000000,0.000000,0.000000,events/second
1574560560,2,0.003663,0.000000,0.000000,0.000000,events/second
1574560563,2,0.003643,0.000000,0.000000,0.000000,events/second
1574560566,2,0.003623,0.000000,0.000000,0.000000,events/second
1574560569,2,0.003604,0.000000,0.000000,0.000000,events/second
1574560572,2,0.003584,0.000000,0.000000,0.000000,events/second
1574560575,2,0.003565,0.000000,0.000000,0.000000,events/second
1574560578,2,0.003546,0.000000,0.000000,0.000000,events/second
1574560581,2,0.003527,0.000000,0.000000,0.000000,events/second
1574560584,2,0.003509,0.000000,0.000000,0.000000,events/second
1574560587,2,0.003490,0.000000,0.000000,0.000000,events/second
1574560590,2,0.003472,0.000000,0.000000,0.000000,events/second
1574560593,2,0.003454,0.000000,0.000000,0.000000,events/second
1574560596,2,0.003436,0.000000,0.000000,0.000000,events/second
1574560599,2,0.003419,0.000000,0.000000,0.000000,events/second
1574560602,2,0.003401,0.000000,0.000000,0.000000,events/second
1574560605,2,0.003384,0.000000,0.000000,0.000000,events/second
1574560608,2,0.003367,0.000000,0.000000,0.000000,events/second
1574560611,2,0.003350,0.000000,0.000000,0.000000,events/second
1574560614,2,0.003333,0.000000,0.000000,0.000000,events/second
1574560617,2,0.003317,0.000000,0.000000,0.000000,events/second
1574560620,2,0.003300,0.000000,0.000000,0.000000,events/second
1574560623,2,0.003284,0.000000,0.000000,0.000000,events/second
1574560626,2,0.003268,0.000000,0.000000,0.000000,events/second
1574560629,2,0.003252,0.000000,0.000000,0.000000,events/second
1574560632,2,0.003236,0.000000,0.000000,0.000000,events/second
1574560635,2,0.003221,0.000000,0.000000,0.000000,events/second
1574560638,2,0.003205,0.000000,0.000000,0.000000,events/second
1574560641,2,0.003190,0.000000,0.000000,0.000000,events/second
1574560644,2,0.003175,0.000000,0.000000,0.000000,events/second
1574560647,2,0.003160,0.000000,0.000000,0.000000,events/second
1574560650,2,0.003145,0.000000,0.000000,0.000000,events/second
1574560653,2,0.003130,0.000000,0.000000,0.000000,events/second
1574560656,2,0.003115,0.000000,0.000000,0.000000,events/second
1574560659,2,0.003101,0.000000,0.000000,0.000000,events/second
1574560662,2,0.003086,0.000000,0.000000,0.000000,events/second
1574560665,2,0.003072,0.000000,0.000000,0.000000,events/second
1574560668,2,0.003058,0.000000,0.000000,0.000000,events/second
1574560671,2,0.003044,0.000000,0.000000,0.000000,events/second
1574560674,2,0.003030,0.000000,0.000000,0.000000,events/second
1574560677,2,0.003017,0.000000,0.000000,0.000000,events/second
1574560680,2,0.003003,0.000000,0.000000,0.000000,events/second
1574560683,2,0.002990,0.000000,0.000000,0.000000,events/second
1574560686,2,0.002976,0.000000,0.000000,0.000000,events/second
1574560689,2,0.002963,0.000000,0.000000,0.000000,events/second
1574560692,2,0.002950,0.000000,0.000000,0.000000,events/second
1574560695,2,0.002937,0.000000,0.000000,0.000000,events/second
1574560698,2,0.002924,0.000000,0.000000,0.000000,events/second
1574560701,2,0.002911,0.000000,0.000000,0.000000,events/second
1574560704,2,0.002899,0.000000,0.000000,0.000000,events/second
1574560707,2,0.002886,0.000000,0.000000,0.000000,events/second
1574560710,2,0.002874,0.000000,0.000000,0.000000,events/second
1574560713,2,0.002861,0.000000,0.000000,0.000000,events/second
1574560716,2,0.002849,0.000000,0.000000,0.000000,events/second
1574560719,2,0.002837,0.000000,0.000000,0.000000,events/second
1574560722,2,0.002825,0.000000,0.000000,0.000000,events/second
1574560725,2,0.002813,0.000000,0.000000,0.000000,events/second
1574560728,2,0.002801,0.000000,0.000000,0.000000,events/second
1574560731,2,0.002789,0.000000,0.000000,0.000000,events/second
1574560734,2,0.002778,0.000000,0.000000,0.000000,events/second
1574560737,2,0.002766,0.000000,0.000000,0.000000,events/second
1574560740,2,0.002755,0.000000,0.000000,0.000000,events/second
1574560743,2,0.002743,0.000000,0.000000,0.000000,events/second
1574560746,2,0.002732,0.000000,0.000000,0.000000,events/second
1574560749,2,0.002721,0.000000,0.000000,0.000000,events/second
1574560752,2,0.002710,0.000000,0.000000,0.000000,events/second
1574560755,2,0.002699,0.000000,0.000000,0.000000,events/second
1574560758,2,0.002688,0.000000,0.000000,0.000000,events/second
1574560761,2,0.002677,0.000000,0.000000,0.000000,events/second
1574560764,2,0.002667,0.000000,0.000000,0.000000,events/second
1574560767,2,0.002656,0.000000,0.000000,0.000000,events/second
