t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1574560017,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560020,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560023,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560026,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560029,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560032,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560035,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560038,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560041,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560044,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560047,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560050,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560053,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560056,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560059,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560062,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560065,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560068,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560071,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560074,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560077,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560080,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560083,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560086,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560089,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560092,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560095,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560098,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560101,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560104,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560107,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560110,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560113,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560116,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560119,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560122,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560125,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560128,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560131,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560134,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560137,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560140,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560143,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560146,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560149,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560152,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560155,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560158,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560161,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560164,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560167,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560170,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560173,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560176,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560179,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560182,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560185,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560188,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560191,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560194,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560197,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560200,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560203,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560206,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560209,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560212,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560215,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560218,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560221,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560224,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560227,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560230,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560233,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560236,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560239,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560242,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560245,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560248,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560251,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560254,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560257,0,0.000000,0.000000,0.000000,0.000000,events/second
1574560260,0,0.000000,0.000000,0.000000,0.000000,events/second
